car,orientation,col,row,length
X,H,8,6,2
A,H,6,5,3
B,V,5,3,3
C,H,8,12,3
D,V,1,3,2
E,H,2,7,3
F,H,11,5,2
G,H,9,10,3
H,V,9,7,3
I,V,9,3,3
J,H,8,11,2
K,V,3,10,3
L,V,7,8,3
M,V,4,11,2
N,H,2,5,3
O,H,2,9,2
P,H,5,2,3
Q,H,5,11,3
R,V,6,7,3
S,V,12,1,3
T,H,5,1,3
U,V,5,6,3
V,H,2,2,2
W,H,2,3,2
Y,H,2,8,2
Z,H,10,4,2
AB,V,12,9,3
AC,H,1,1,3
AD,V,7,6,2
AE,V,11,6,2
AF,V,11,1,2
AG,V,10,5,3
AH,H,10,8,3
AI,H,6,4,3
AJ,H,1,12,2
AK,V,4,8,3
AL,V,1,10,2
AM,V,2,10,2
AN,H,6,3,3
AO,V,1,6,3
AP,H,5,12,3
AQ,V,8,7,3
AR,V,10,1,3
AS,V,5,9,2
AT,H,2,4,3
