car,orientation,col,row,length
X,H,1,6,2
A,V,11,4,2
B,V,4,6,2
C,V,9,5,3
D,V,12,6,2
E,H,2,4,2
F,H,3,3,2
G,H,7,2,2
H,V,12,10,3
I,H,3,5,3
J,H,7,9,3
K,H,9,1,2
L,V,6,3,2
M,H,3,8,2
N,H,7,3,3
O,V,11,6,2
P,V,6,7,2
Q,H,1,1,3
R,H,4,10,2
S,V,7,5,3
T,H,11,1,2
U,H,9,11,3
V,V,3,9,3
W,H,6,10,3
Y,H,6,12,3
Z,V,5,1,3
AB,V,10,4,2
AC,H,5,11,3
AD,V,5,6,2
AE,V,1,8,3
AF,H,5,9,2
AG,V,2,10,2
AH,H,10,10,2
AI,H,4,4,2
AJ,H,10,3,2
AK,V,12,3,3
AL,V,1,11,2
AM,V,8,5,3
AN,H,10,9,3
AO,H,6,1,2
AP,V,2,7,3
AQ,V,1,2,3
AR,V,10,6,3
AS,H,3,12,3
AT,V,6,5,2
AU,H,2,2,3
AV,V,3,6,2
AW,H,7,4,3
AX,H,9,2,2
